sample_id,n_bbox,n_buildings_exact,n_height,n_num_floors,n_vertical_evidence,height_pct_reparsed,vertical_evidence_pct_reparsed,top_geometry_source,top_geometry_source_share_pct,osm_geometry_share_pct,google_open_buildings_share_pct,microsoft_ml_geometry_share_pct,n_distinct_geometry_sources,top_height_source,top_height_source_share_pct,n_distinct_height_sources,bad_lines,city_name,country,ucdb_region,income_group_ucdb,population_2025,hot_days_ge35,hot_days_ge32,hot_days_ge40,height_pct_from_r14,vertical_evidence_pct_from_r14
ucdb_118,91521,65174,137,147,147,0.2102065240740172,0.2255500659772302,OpenStreetMap,87.33697486727836,87.33697486727836,0.0,12.663025132721636,2,OpenStreetMap,100.0,1,0,Pyinmana [Nay Pyi Taw],Myanmar,Eastern and South-Eastern Asia,Lower Middle,556726.2982,94.0,163.0,32.0,0.2102,0.2256
ucdb_139,30958,27125,0,0,0,0.0,0.0,Google Open Buildings,76.39815668202765,2.694930875576037,76.39815668202765,20.906912442396315,3,(none),,0,0,Idiofa,Democratic Republic of the Congo,Sub-Saharan Africa,Low income,131882.5099,94.0,222.0,0.0,0.0,0.0
ucdb_150,19224,17302,0,0,0,0.0,0.0,OpenStreetMap,74.1648364350942,74.1648364350942,23.06669749161947,2.768466073286325,3,(none),,0,0,Babathan,Nepal,Central and Southern Asia,Lower Middle,105155.6145,89.0,121.0,36.0,0.0,0.0
ucdb_217,7647,6655,0,1,1,0.0,0.0150262960180315,Microsoft ML Buildings,92.51690458302028,7.483095416979714,0.0,92.51690458302028,2,(none),,0,0,Taza,Morocco,Northern Africa and Western Asia,Lower Middle,174777.4262,88.0,116.0,45.0,0.0,0.015
ucdb_040,36986,20360,1,2,2,0.0049115913555992,0.0098231827111984,Microsoft ML Buildings,99.48428290766208,0.5157170923379175,0.0,99.48428290766208,2,OpenStreetMap,100.0,1,0,G'ijduvon,Uzbekistan,Central and Southern Asia,Lower Middle,105500.2166,86.0,109.0,33.0,0.0049,0.0098
ucdb_225,10332,9249,0,0,0,0.0,0.0,OpenStreetMap,92.30187047248351,92.30187047248351,0.0,7.698129527516488,2,(none),,0,0,Labutta,Myanmar,Eastern and South-Eastern Asia,Lower Middle,103422.0716,85.0,167.0,0.0,0.0,0.0
ucdb_076,12660,11380,0,0,0,0.0,0.0,Microsoft ML Buildings,99.97363796133568,0.0263620386643233,0.0,99.97363796133568,2,(none),,0,0,Shindand,Afghanistan,Central and Southern Asia,Low income,232133.7506,83.0,123.0,24.0,0.0,0.0
ucdb_123,80957,73506,0,1,1,0.0,0.0013604331619187,Microsoft ML Buildings,65.78238511141947,1.480151280167605,32.737463608412924,65.78238511141947,3,(none),,0,0,Punto Fijo,Venezuela,Latin America and the Caribbean,Upper Middle,257860.7735,82.0,328.0,0.0,0.0,0.0014
ucdb_085,108760,83808,6,476,478,0.0071592210767468,0.5703512791141657,Microsoft ML Buildings,89.42583046964491,10.574169530355098,0.0,89.42583046964491,2,OpenStreetMap,100.0,1,0,Namangan,Uzbekistan,Central and Southern Asia,Lower Middle,927907.7004,79.0,107.0,24.0,0.0072,0.5704
ucdb_031,16605,15455,1,1,1,0.0064703979294726,0.0064703979294726,Google Open Buildings,59.72177288903268,39.171789065027504,59.72177288903268,1.1064380459398253,3,OpenStreetMap,100.0,1,0,Kenge,Democratic Republic of the Congo,Sub-Saharan Africa,Low income,108939.9387,79.0,234.0,0.0,0.0065,0.0065
ucdb_107,62792,44032,0,624,624,0.0,1.4171511627906976,Microsoft ML Buildings,65.03224927325581,1.5738553779069766,33.39389534883721,65.03224927325581,3,(none),,0,0,Bảo Lộc,Vietnam,Eastern and South-Eastern Asia,Lower Middle,145024.5058,75.0,104.0,3.0,0.0,1.4172
ucdb_277,16169,14708,0,6,6,0.0,0.0407941256459069,Google Open Buildings,99.33369594778353,0.6663040522164808,99.33369594778353,0.0,2,(none),,0,0,Mecheria,Algeria,Northern Africa and Western Asia,Lower Middle,112802.0586,74.0,98.0,17.0,0.0,0.0408
ucdb_005,35506,25893,0,37,37,0.0,0.1428957633337195,Google Open Buildings,56.76437647240567,0.7222029119839338,56.76437647240567,42.5134206156104,3,(none),,0,0,Bani Gala,Pakistan,Central and Southern Asia,Lower Middle,154614.1539,71.0,115.0,36.0,0.0,0.1429
ucdb_073,13824,13497,0,37,37,0.0,0.2741349929613988,Microsoft ML Buildings,79.26205823516337,0.6890420093354078,20.048899755501225,79.26205823516337,3,(none),,0,0,Hassi Bahbah,Algeria,Northern Africa and Western Asia,Lower Middle,130853.8332,71.0,101.0,25.0,0.0,0.2741
ucdb_237,21412,19348,8,133,135,0.0413479429398387,0.6977465371097789,Microsoft ML Buildings,59.7684515195369,40.2315484804631,0.0,59.7684515195369,2,OpenStreetMap,100.0,1,0,Larissa,Greece,Europe,High income,118892.1119,71.0,103.0,10.0,0.0413,0.6977
ucdb_028,157722,142852,2,77,77,0.0014000504018144,0.0539019404698569,Google Open Buildings,74.70178926441352,1.3671492173718254,74.70178926441352,23.93106151821465,3,OpenStreetMap,100.0,1,0,Uberaba,Brazil,Latin America and the Caribbean,Upper Middle,330021.3868,69.0,178.0,3.0,0.0014,0.0539
ucdb_263,59010,51284,1,1485,1485,0.0019499259028156,2.8956399656813043,OpenStreetMap,45.51712034942672,45.51712034942672,17.73262616020591,36.75025349036737,3,OpenStreetMap,100.0,1,0,Constantine,Algeria,Northern Africa and Western Asia,Lower Middle,507697.2204,68.0,100.0,30.0,0.0019,2.8956
ucdb_105,22857,22016,8,1140,1142,0.0363372093023255,5.187136627906977,OpenStreetMap,100.0,100.0,0.0,0.0,1,OpenStreetMap,100.0,1,0,Urgench,Uzbekistan,Central and Southern Asia,Lower Middle,261275.914,68.0,98.0,24.0,0.0363,5.1871
ucdb_010,1176,1100,0,476,476,0.0,43.27272727272727,OpenStreetMap,100.0,100.0,0.0,0.0,1,(none),,0,0,Dashoguz,Turkmenistan,Central and Southern Asia,Upper Middle,182056.1445,67.0,92.0,19.0,0.0,43.2727
