sample_id,ucdb_id,city_name,country,country_un_m49,ucdb_region,income_group_ucdb,population_2025,area_km2_2025,is_capital,centroid_lon,centroid_lat,xmin,ymin,xmax,ymax,sample_population_weight,ucdb_id_r,city_name_r,country_r,ucdb_region_r,income_group_ucdb_r,population_2025_r,area_km2_2025_r,status,cli_returncode,download_elapsed_s,n_bbox,n_buildings,n_height,n_num_floors,n_vertical_evidence,bad_lines,height_pct,floors_pct,vertical_evidence_pct,power_ok,hot_days_ge32,hot_days_ge35,hot_days_ge40,t2m_max_p95,t2m_max_max,heat_readiness_mismatch
ucdb_020,1351,Ipoh,Malaysia,Malaysia,Eastern and South-Eastern Asia,Upper Middle,861932.7849,227.0,0,101.0977211936669,4.609798699179555,101.02449317505068,4.514715286910799,101.18230452399185,4.72525731954766,0.0032994346342414,1351,Ipoh,Malaysia,Eastern and South-Eastern Asia,Upper Middle,861932.7849,227.0,downloaded,0.0,252.9,153371,138852,3,956,958,0,0.0022,0.6885,0.6899,True,0,0,0,29.64,30.88,False
ucdb_021,2395,Huichon,North Korea,Dem. People's Republic of Korea,Eastern and South-Eastern Asia,Low income,144336.6723,9.0,0,126.274413696698,40.173950822814525,126.24148548211848,40.15753397107707,126.31087759206854,40.19335447311004,0.0005525134023449,2395,Huichon,North Korea,Eastern and South-Eastern Asia,Low income,144336.6723,9.0,downloaded,0.0,12.5,3205,2262,0,14,14,0,0.0,0.6189,0.6189,True,0,0,0,28.32,31.19,False
ucdb_022,5321,Sinpho,North Korea,Dem. People's Republic of Korea,Eastern and South-Eastern Asia,Low income,112796.634,26.0,0,128.17275802957724,40.03187366256926,128.09977541176792,40.00537557922649,128.23986419517408,40.0501148420318,0.0004317797482185,5321,Sinpho,North Korea,Eastern and South-Eastern Asia,Low income,112796.634,26.0,downloaded,0.0,20.8,807,560,0,0,0,0,0.0,0.0,0.0,True,0,0,0,28.17,30.34,False
ucdb_023,9892,Tirupattur,India,India,Central and Southern Asia,Lower Middle,167206.9784,29.0,0,78.56557699931857,12.493992852937296,78.52758798141919,12.46852161919658,78.60460012702062,12.533819964950112,0.0006400597648502,9892,Tirupattur,India,Central and Southern Asia,Lower Middle,167206.9784,29.0,downloaded,0.0,23.3,37372,25481,0,0,0,0,0.0,0.0,0.0,True,193,104,29,40.76,42.96,True
ucdb_024,7585,Lumajang,Indonesia,Indonesia,Eastern and South-Eastern Asia,Upper Middle,115947.1063,17.0,0,113.22396182934304,-8.121177911773138,113.20284563305066,-8.1467290625601,113.2430062878207,-8.098015256935714,0.0004438395951149,7585,Lumajang,Indonesia,Eastern and South-Eastern Asia,Upper Middle,115947.1063,17.0,downloaded,0.0,15.7,32828,28791,0,73,73,0,0.0,0.2536,0.2536,True,68,5,0,34.0,36.0,False
ucdb_025,7343,Francisco Morato,Brazil,Brazil,Latin America and the Caribbean,Upper Middle,351136.9754,70.0,0,-46.73390629323276,-23.30949211522791,-46.77242323680439,-23.363922106624813,-46.68828125661675,-23.246955827996,0.0013441343899361,7343,Francisco Morato,Brazil,Latin America and the Caribbean,Upper Middle,351136.9754,70.0,downloaded,0.0,29.3,126782,119103,1,14,15,0,0.0008,0.0118,0.0126,True,74,9,0,34.52,37.5,False
ucdb_026,6492,Bingöl,Turkey,Turkey,Northern Africa and Western Asia,Upper Middle,113229.8489,13.0,0,40.49880378534763,38.891429216309966,40.47329972062245,38.87261739508035,40.52627168153397,38.908190411944496,0.0004334380727076,6492,Bingöl,Turkey,Northern Africa and Western Asia,Upper Middle,113229.8489,13.0,downloaded,0.0,18.1,6212,5515,0,189,189,0,0.0,3.427,3.427,True,33,1,0,33.04,35.56,False
ucdb_027,11085,Danbei,China,China,Eastern and South-Eastern Asia,Upper Middle,108204.4731,42.0,0,119.80621550326464,32.08034180521041,119.74141189308232,32.05122085488282,119.8781163702693,32.120132428880574,0.0004142011910678,11085,Danbei,China,Eastern and South-Eastern Asia,Upper Middle,108204.4731,42.0,downloaded,0.0,20.5,14420,9725,0,0,0,0,0.0,0.0,0.0,True,69,19,0,35.04,36.76,False
ucdb_028,6488,Uberaba,Brazil,Brazil,Latin America and the Caribbean,Upper Middle,330021.3868,80.0,0,-47.935425700469885,-19.75327733801538,-48.00591073895607,-19.796424903272705,-47.87391131843698,-19.721928299600112,0.0012633049963108,6488,Uberaba,Brazil,Latin America and the Caribbean,Upper Middle,330021.3868,80.0,downloaded,0.0,27.9,157722,142852,2,77,77,0,0.0014,0.0539,0.0539,True,178,69,3,37.8,40.69,True
ucdb_029,5472,Jakarta,Indonesia,Indonesia,Eastern and South-Eastern Asia,Upper Middle,40545125.86,4614.0,1,106.82830370537889,-6.368726035769504,106.09581938941768,-6.994413796945866,107.523543546505,-6.029586451929263,0.1552046689205399,5472,Jakarta,Indonesia,Eastern and South-Eastern Asia,Upper Middle,40545125.86,4614.0,downloaded,0.0,473.2,11584368,8251981,6255,39124,42840,0,0.0758,0.4741,0.5191,True,3,0,0,31.21,32.51,False
