ucdb_id,selected_simulations,pi_hat
7168,206,0.0515
3584,667,0.16675
1538,1262,0.3155
3590,751,0.18775
2570,215,0.05375
8714,32,0.008
4623,524,0.131
2582,231,0.05775
6168,209,0.05225
538,193,0.04825
2074,1228,0.307
6170,185,0.04625
3099,748,0.187
2590,1133,0.28325
6174,212,0.053
2592,1263,0.31575
1569,224,0.056
5154,671,0.16775
546,194,0.0485
4132,611,0.15275
10781,39,0.00975
5151,682,0.1705
8231,198,0.0495
4639,219,0.05475
4138,193,0.04825
5163,177,0.04425
6186,178,0.0445
10797,43,0.01075
1071,179,0.04475
3120,184,0.046
3122,202,0.0505
4659,637,0.15925
1586,191,0.04775
3637,702,0.1755
3640,729,0.18225
1592,211,0.05275
3642,508,0.127
8249,229,0.05725
7228,282,0.0705
6717,219,0.05475
3641,701,0.17525
4166,620,0.155
1608,190,0.0475
2121,218,0.0545
3658,183,0.04575
1098,213,0.05325
4172,226,0.0565
6735,427,0.10675
8272,183,0.04575
9808,35,0.00875
6225,200,0.05
3152,613,0.15325
4693,627,0.15675
1113,194,0.0485
3675,219,0.05475
7772,185,0.04625
94,178,0.0445
4703,180,0.045
5728,495,0.12375
5729,599,0.14975
5730,195,0.04875
3170,212,0.053
95,218,0.0545
7777,231,0.05775
1127,259,0.06475
4199,1156,0.289
3687,651,0.16275
2667,720,0.18
2156,680,0.17
5741,430,0.1075
621,1172,0.293
7794,241,0.06025
628,1246,0.3115
117,203,0.05075
4725,969,0.24225
5239,585,0.14625
2679,216,0.054
121,211,0.05275
6778,190,0.0475
4730,655,0.16375
125,223,0.05575
3203,981,0.24525
643,699,0.17475
6789,169,0.04225
3208,654,0.1635
2186,190,0.0475
5779,184,0.046
5782,219,0.05475
4247,524,0.131
1176,204,0.051
3225,164,0.041
4758,224,0.056
3227,214,0.0535
7836,223,0.05575
3739,687,0.17175
672,209,0.05225
5793,197,0.04925
2721,244,0.061
9892,36,0.009
166,1272,0.318
4780,168,0.042
5294,581,0.14525
7343,180,0.045
5296,496,0.124
176,737,0.18425
9906,47,0.01175
7855,197,0.04925
5813,202,0.0505
10933,34,0.0085
1719,214,0.0535
7861,203,0.05075
5303,204,0.051
1208,213,0.05325
6844,38,0.0095
6845,188,0.047
1726,1140,0.285
3263,305,0.07625
1727,1275,0.31875
4289,213,0.05325
6340,200,0.05
3269,722,0.1805
4805,721,0.18025
9416,51,0.01275
5321,708,0.177
3273,194,0.0485
5323,615,0.15375
3274,215,0.05375
2253,195,0.04875
3790,192,0.048
6345,306,0.0765
7368,187,0.04675
1737,709,0.17725
7890,219,0.05475
8403,202,0.0505
1747,166,0.0415
4821,225,0.05625
1752,183,0.04575
3289,170,0.0425
3802,162,0.0405
6880,219,0.05475
7393,189,0.04725
5858,220,0.055
6373,218,0.0545
7400,40,0.01
2280,224,0.056
6377,357,0.08925
5355,195,0.04875
4841,471,0.11775
3315,279,0.06975
8947,36,0.009
3829,562,0.1405
1372,201,0.05025
761,964,0.241
6394,36,0.009
764,1230,0.3075
253,213,0.05325
255,191,0.04775
2304,1125,0.28125
1792,214,0.0535
8964,41,0.01025
3845,185,0.04625
1285,180,0.045
2822,228,0.057
8455,40,0.01
5897,174,0.0435
8453,190,0.0475
2315,673,0.16825
2318,715,0.17875
3343,207,0.05175
2320,723,0.18075
5908,576,0.144
8471,160,0.04
1816,1256,0.314
7959,225,0.05625
6940,257,0.06425
797,208,0.052
1822,1235,0.30875
3874,614,0.1535
4387,178,0.0445
4389,1097,0.27425
2342,224,0.056
295,235,0.05875
5416,227,0.05675
3372,330,0.0825
2909,1254,0.3135
3888,233,0.05825
5937,196,0.049
6967,400,0.1
1336,1252,0.313
7484,324,0.081
5439,218,0.0545
1345,1266,0.3165
4930,979,0.24475
1351,699,0.17475
11080,36,0.009
4937,584,0.146
8011,235,0.05875
2892,206,0.0515
11085,31,0.00775
1358,623,0.15575
1360,489,0.12225
4443,212,0.053
4436,681,0.17025
5972,217,0.05425
2389,306,0.0765
6488,197,0.04925
2393,573,0.14325
2395,671,0.16775
6492,198,0.0495
7003,205,0.05125
347,725,0.18125
351,484,0.121
5472,183,0.04575
3936,178,0.0445
6498,305,0.07625
8035,198,0.0495
5986,523,0.13075
2917,617,0.15425
7526,192,0.048
8039,251,0.06275
3943,205,0.05125
1385,207,0.05175
3436,580,0.145
4460,203,0.05075
8044,172,0.043
1388,216,0.054
11120,44,0.011
4465,1007,0.25175
5490,442,0.1105
4466,1120,0.28
2930,183,0.04575
885,1250,0.3125
6005,185,0.04625
883,1282,0.3205
1393,190,0.0475
3962,678,0.1695
