ucdb_region,sample_n,observed_trigger_centres,sample_population,sample_trigger_population,sample_trigger_rate,frame_n,frame_population,estimated_trigger_centres,sample_trigger_population_share,estimated_trigger_population,estimated_trigger_population_share,outcome
Oceania,1,0.0,442164.8952,0.0,0.0,8,1427792.8120000002,0.0,0.0,0.0,0.0,trigger_vertical_evidence_below_5pct_conservative
Sub-Saharan Africa,42,13.0,11402820.0203,1809730.0842,0.3095238095238095,834,414574836.0057,258.1428571428572,0.1587089931243505,65796754.79715741,0.1587089931243505,trigger_vertical_evidence_below_5pct_conservative
Australia and New Zealand,1,0.0,4010658.252,0.0,0.0,21,16421066.0407,0.0,0.0,0.0,0.0,height_below_5pct
Central and Southern Asia,75,73.0,46755066.3488,46540813.7994,0.9733333333333334,1492,799596973.4284999,1452.2133333333334,0.9954175543715064,795932863.7730557,0.9954175543715064,height_below_5pct
Eastern and South-Eastern Asia,84,84.0,150349070.8262,150349070.8262,1.0,1673,1023951403.393,1673.0,1.0,1023951403.393,1.0,height_below_5pct
Europe,30,20.0,9177616.6691,4297994.5278,0.6666666666666666,588,262058940.4975,392.0,0.4683127093628635,122725532.43714568,0.4683127093628635,height_below_5pct
Latin America and the Caribbean,29,27.0,23172923.5503,22729672.5894,0.9310344827586208,575,333057007.4813,535.3448275862069,0.9808720311039796,326686303.40159607,0.9808720311039796,height_below_5pct
Northern Africa and Western Asia,27,27.0,7196094.0,7196094.0,1.0,539,302807620.3362,539.0,1.0,302807620.3362,1.0,height_below_5pct
Northern America,11,0.0,8730094.2493,0.0,0.0,214,145686882.6141,0.0,0.0,0.0,0.0,height_below_5pct
Oceania,1,0.0,442164.8952,0.0,0.0,8,1427792.8120000002,0.0,0.0,0.0,0.0,height_below_5pct
Sub-Saharan Africa,42,42.0,11402820.0203,11402820.0203,1.0,834,414574836.0057,834.0,1.0,414574836.0057,1.0,height_below_5pct
